,club,leagueCountry,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,Alpha_3,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,meanRating,yellowRed
1387,88,2,189.0,78.0,2,148,50,51,47,40,8,0,1,24,0.336628162643,495936.0,0.0,0.336628162643,510336.0,0.0,0.375,0.0
1388,51,1,174.0,72.0,11,331,137,93,101,55,27,0,0,33,0.328248678054,2201664.0,0.000219054338792,0.328248678054,2265579.0,0.00133279606432,0.875,0.0
1389,58,1,185.0,74.0,1,421,181,102,138,18,75,3,3,33,0.330263833721,949076.0,0.000385199244425,0.330263833721,993125.0,0.00235305349013,1.0,3.0
1390,89,2,186.0,82.0,2,204,81,50,73,59,26,0,1,24,0.339046273226,455813.0,0.000150144985845,0.339046273226,470069.0,0.00125935735711,0.0,0.0
1391,57,1,173.0,72.0,0,570,228,147,195,70,48,0,0,29,0.328399621839,2077486.0,0.000203657392849,0.328399621839,2175490.0,0.0013696241467,0.25,0.0
1392,44,1,185.0,80.0,12,171,65,49,57,0,2,0,0,33,0.33473566889,135991.0,6.4732368872e-05,0.33473566889,142066.0,0.00167801349478,0.75,0.0
1393,25,2,185.0,72.0,10,217,82,52,83,47,36,1,1,24,0.336442513911,523066.0,0.000153078470641,0.336442513911,539214.0,0.00100578459472,0.0,1.0
1394,70,3,180.0,72.0,0,77,30,15,32,4,14,2,1,33,0.343625595647,194938.0,0.000593127492478,0.343625595647,203413.0,0.00411584158372,0.0,2.0
1395,1,2,192.0,86.0,1,130,57,33,40,10,17,1,0,24,0.336931143153,555692.0,0.000131170387493,0.336931143153,571996.0,0.00117772094895,0.0,1.0
1396,11,2,191.0,80.0,2,412,186,82,144,149,42,0,2,24,0.335837807108,632280.0,0.000332738712658,0.335837807108,656722.0,0.00225835201881,0.0,0.0
1397,11,2,189.0,83.0,1,230,117,51,62,11,50,0,0,24,0.329281841525,2524948.0,0.00015444920146,0.329281841525,2597697.0,0.00113679821691,0.0,0.0
1398,33,2,185.0,82.0,2,333,115,76,142,81,31,0,0,24,0.336628162643,550179.0,0.0,0.336628162643,566154.0,0.0,0.125,0.0
1399,2,2,190.0,82.0,1,43,20,13,10,1,10,0,0,24,0.33717998329,264104.0,0.00021133953835,0.33717998329,271848.0,0.00125579790684,0.25,0.0
1400,25,2,171.0,65.0,9,195,78,51,66,3,10,0,1,24,0.335289723148,607914.0,0.00017778451083,0.335289723148,628227.0,0.00142502538693,0.0,0.0
1401,33,2,192.0,80.0,1,124,58,32,34,2,23,0,0,24,0.337050858872,266835.0,0.000341842214831,0.337050858872,276757.0,0.00262720792054,0.25,0.0
1402,95,1,188.0,82.0,5,228,91,50,87,0,5,0,0,33,0.332831687664,862930.0,0.00031622528151,0.332831687664,902140.0,0.00217980642989,0.0,0.0
1403,76,2,178.0,71.0,4,239,92,71,76,14,36,1,1,24,0.336659108769,528818.0,1.18947452131e-05,0.336659108769,544170.0,5.57113833004e-05,0.0,1.0
1404,28,2,180.0,75.0,2,101,36,30,35,17,7,0,0,24,0.336628162643,294462.0,0.0,0.336628162643,303012.0,6.21644532779e-19,0.125,0.0
1405,2,2,170.0,68.0,10,224,102,48,74,8,46,4,0,24,0.337033225508,394340.0,6.78656606818e-05,0.337033225508,405886.0,0.000536159837465,0.25,4.0
1406,8,0,175.0,68.0,0,269,95,62,112,31,19,0,1,29,0.327407287753,1739586.0,0.000171629491996,0.327407287753,1822010.0,0.00127411838914,0.25,0.0
1407,34,0,181.0,77.0,9,289,110,70,109,2,21,0,1,29,0.32732927688,5353023.0,0.000112673016832,0.32732927688,5566847.0,0.000744473599433,0.25,0.0
1408,14,0,183.0,77.0,6,395,158,105,132,16,70,1,1,29,0.327202733546,3570445.0,9.05104257676e-05,0.327202733546,3739312.0,0.000669014253763,0.0,1.0
1409,53,0,188.0,82.0,12,216,95,56,65,0,1,0,0,29,0.327066992911,2638477.0,0.000127036845616,0.327066992911,2763809.0,0.00112146487193,0.125,0.0
1410,82,0,191.0,76.0,1,186,63,43,80,12,12,0,0,29,0.327051794734,2600195.0,0.000140486468536,0.327051794734,2723375.0,0.00119558103597,0.625,0.0
1411,39,2,172.0,69.0,9,467,194,106,167,9,73,5,1,24,0.338546054938,701817.0,0.000472728050939,0.338546054938,726255.0,0.00296802069981,0.125,5.0
1412,75,0,170.0,60.0,4,423,177,112,134,36,20,0,0,29,0.32820048008,2590916.0,0.000206231942413,0.32820048008,2712765.0,0.0016707518882,0.0,0.0
1413,45,0,188.0,83.0,3,763,417,175,171,194,76,4,3,29,0.329658176352,2274764.0,0.000247153729293,0.329658176352,2380711.0,0.00179070344064,0.0,4.0
1414,27,0,175.0,72.0,2,279,141,63,75,64,36,0,0,29,0.327961693672,1619257.0,0.000231418398616,0.327961693672,1696095.0,0.00145487795124,0.0,0.0
1415,27,0,176.0,66.0,0,394,186,104,104,42,60,3,1,29,0.330233163358,1596356.0,0.000334254056966,0.330233163358,1668222.0,0.00184258911935,0.5,3.0
1416,91,0,180.0,75.0,9,263,97,68,98,19,50,0,1,29,0.327073235514,2553466.0,0.000101831826826,0.327073235514,2674609.0,0.000612328741649,0.5,0.0
1417,34,0,178.0,70.0,3,392,182,89,121,55,67,2,2,29,0.326942335601,3348132.0,0.000109786409471,0.326942335601,3507078.0,0.00093322184993,0.25,2.0
1418,53,0,188.0,81.0,12,260,100,73,87,14,36,3,2,29,0.328146408349,1852688.0,0.000216545958818,0.328146408349,1940091.0,0.00161826632716,0.125,3.0
1419,54,0,186.0,87.0,9,330,162,72,96,22,43,2,1,29,0.328381896864,1825598.0,0.000205979355288,0.328381896864,1912419.0,0.00128378910142,0.125,2.0
1420,45,0,182.0,70.0,7,481,188,121,172,44,12,0,0,29,0.328141650348,2167056.0,0.000202256934976,0.328141650348,2269196.0,0.0013576084764,0.125,0.0
1421,8,0,180.0,77.0,3,422,207,106,109,45,71,1,0,29,0.328217137573,4025556.0,0.000210133490502,0.328217137573,4175158.0,0.00124659563515,0.25,1.0
1422,63,0,195.0,86.0,5,69,29,18,22,0,1,0,0,29,0.32694843021,1624966.0,9.73094829916e-05,0.32694843021,1702073.0,0.000599754420788,0.125,0.0
1423,60,0,189.0,82.0,4,293,125,85,83,18,75,2,6,33,0.328310203751,2936579.0,0.000324051193809,0.328310203751,3035709.0,0.00173327414443,0.875,2.0
1424,81,0,172.0,72.0,10,293,98,87,108,40,36,0,5,33,0.328213487229,1152974.0,0.000420159449063,0.328213487229,1207500.0,0.00206646560034,0.75,0.0
1425,58,1,185.0,82.0,5,349,167,86,96,0,10,1,1,33,0.335842193536,437917.0,0.000441640010834,0.335842193536,458410.0,0.00351424003823,0.875,1.0
1426,16,2,185.0,72.0,4,257,130,63,64,8,34,0,0,24,0.33559504022,648413.0,0.000255464525153,0.33559504022,671544.0,0.00177542828272,0.0,0.0
1427,38,2,192.0,90.0,12,193,75,52,66,0,2,0,0,24,0.336628162643,604422.0,0.0,0.336628162643,621972.0,6.21644532779e-19,0.25,0.0
1428,2,2,185.0,79.0,2,196,67,50,79,66,32,1,1,24,0.33592938455,580397.0,5.88602680432e-05,0.33592938455,598082.0,0.000288112927856,0.25,1.0
1429,88,2,189.0,80.0,5,265,109,59,97,0,18,0,0,24,0.335350656491,705517.0,0.000251411915649,0.335350656491,730193.0,0.00200229846497,0.25,0.0
1430,59,1,182.0,82.0,6,493,205,133,155,20,63,3,5,33,0.333885082905,572438.0,0.000360312189799,0.333885082905,598262.0,0.00234765502522,0.0,3.0
1431,27,0,191.0,85.0,1,559,219,145,195,11,51,1,1,29,0.327263381884,2237210.0,0.000110021130421,0.327263381884,2343027.0,0.000903876358891,0.875,1.0
1432,71,1,184.0,80.0,1,282,94,86,102,7,68,1,0,33,0.334884299798,142151.0,0.000294259157155,0.334884299798,148512.0,0.002710354453,0.25,1.0
1433,53,0,172.0,64.0,7,169,59,48,62,18,10,0,0,33,0.328632327609,932640.0,0.000154526192413,0.328632327609,976434.0,0.000938060008648,0.5,0.0
1434,44,1,192.0,70.0,12,98,43,28,27,11,0,0,0,33,0.337059617266,96820.0,0.000328743627323,0.337059617266,101174.0,0.00291492288394,0.5,0.0
1435,39,2,173.0,72.0,10,265,109,60,96,58,49,2,2,24,0.333966935474,708542.0,0.000416803604373,0.333966935474,737495.0,0.00341863418893,0.0,2.0
1436,54,0,187.0,84.0,1,229,64,67,98,6,17,1,3,29,0.327794010515,1313236.0,0.000200912208313,0.327794010515,1374959.0,0.00130329338674,1.0,1.0
1437,24,1,178.0,74.0,12,143,39,44,60,25,15,0,2,33,0.335316629497,140558.0,0.000211291250747,0.335316629497,146831.0,0.00234880396361,0.125,0.0
1438,4,1,186.0,64.0,1,244,81,77,86,25,54,1,2,33,0.330179510422,445339.0,0.000243941682362,0.330179510422,466026.0,0.00274435425353,0.25,1.0
1439,32,1,180.0,67.0,0,279,87,78,114,27,34,0,2,33,0.335772350518,144088.0,0.000197382767965,0.335772350518,150713.0,0.0011805685228,0.125,0.0
1440,6,0,183.0,76.0,1,363,185,91,87,23,37,0,2,33,0.331271882401,1208663.0,0.00031223739373,0.331271882401,1265975.0,0.00213980695067,0.125,0.0
1441,58,1,181.0,78.0,1,3,0,2,1,0,1,0,0,45,0.356813834443,1451.0,0.00557085922222,0.356813834443,1501.0,0.0336464952988,1.0,0.0
1442,25,2,169.0,59.0,0,114,42,22,50,21,11,2,0,24,0.334832296224,433564.0,0.000217546010678,0.334832296224,449057.0,0.00211545082403,0.375,2.0
1443,2,2,178.0,69.0,0,73,27,16,30,18,5,0,0,24,0.32844953751,2305155.0,0.000125561472751,0.32844953751,2369951.0,0.00108392205636,0.5,0.0
1444,88,2,170.0,67.0,0,322,123,84,115,50,36,1,0,24,0.336433179098,907282.0,0.000341393352588,0.336433179098,941362.0,0.00247345808995,0.25,1.0
